File:,IHME_RETROSPECTIVE_FINANCING_1995_2014_Y2017M04D19,,,,,,,,,,,,,,,,,,,
Variable:,year,location_id,location_name,iso3,level,the_total,the_per_gdp,the_per_cap,ghes_per_the,ppp_per_the,oop_per_the,dah_per_the,ghes_per_cap,ppp_per_cap,oop_per_cap,dah_per_cap,ghes_per_gdp,ppp_per_gdp,oop_per_gdp,dah_per_gdp
Label:,Year,Location ID,Location Name,ISO 3-digit Code,Location Category,Total Health Spending (2015 PPP $),Total Health Spending per Gross Domestic Product,Total Health Spending per Capita (2015 PPP $),Government Spending as Share of Total Health Spending,Prepaid Private Spending as Share of Total Health Spending,Out-of-Pocket Spending as Share of Total Health Spending,Development Assistance for Health as Share of Total Health Spending,Government Spending per Capita (2015 PPP $),Prepaid Private Spending per Capita (2015 PPP $),Out-of-Pocket Spending per Capita (2015 PPP $),Development Assistance for Health per Capita (2015 PPP $),Government Spending per Gross Domestic Product,Prepaid Private Spending per Gross Domestic Product,Out-of-Pocket Spending per Gross Domestic Product,Development Assistance for Health per Gross Domestic Product
Value Coding:,1995,160,Afghanistan,AFG,World Bank Income Groups,,,,,,,,,,,,,,,
,1996,43,Albania,ALB,GBD Super Regions,,,,,,,,,,,,,,,
,1997,139,Algeria,DZA,Country,,,,,,,,,,,,,,,
,1998,74,Andorra,AND,,,,,,,,,,,,,,,,
,1999,168,Angola,AGO,,,,,,,,,,,,,,,,
,2000,105,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,
,2001,97,Argentina,ARG,,,,,,,,,,,,,,,,
,2002,33,Armenia,ARM,,,,,,,,,,,,,,,,
,2003,71,Australia,AUS,,,,,,,,,,,,,,,,
,2004,75,Austria,AUT,,,,,,,,,,,,,,,,
,2005,34,Azerbaijan,AZE,,,,,,,,,,,,,,,,
,2006,140,Bahrain,BHR,,,,,,,,,,,,,,,,
,2007,161,Bangladesh,BGD,,,,,,,,,,,,,,,,
,2008,107,Barbados,BRB,,,,,,,,,,,,,,,,
,2009,57,Belarus,BLR,,,,,,,,,,,,,,,,
,2010,76,Belgium,BEL,,,,,,,,,,,,,,,,
,2011,108,Belize,BLZ,,,,,,,,,,,,,,,,
,2012,200,Benin,BEN,,,,,,,,,,,,,,,,
,2013,162,Bhutan,BTN,,,,,,,,,,,,,,,,
